fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,wine_type,quality_binary,alcohol_category,acidity_ratio,sulfur_ratio,sugar_alcohol_interaction,ph_category,is_excellent,is_poor
7.3,0.67,0.02,2.2,0.072,31.0,92.0,0.99566,3.32,0.68,11.1,6,red,1,Medium,10.879284649776451,0.33695285920805207,24.42,Moderate,0,0
7.4,0.785,0.19,5.2,0.094,19.0,98.0,0.99713,3.16,0.52,9.6,6,red,1,Low,9.414758269720101,0.19387557269823777,49.92,Acidic,0,0
6.9,0.63,0.02,1.9,0.078,18.0,30.0,0.99712,3.4,0.75,9.8,5,red,0,Low,10.935023771790808,0.5999800006666445,18.62,Moderate,0,0
6.8,0.67,0.0,1.9,0.08,22.0,39.0,0.99701,3.4,0.74,9.7,5,red,0,Low,10.134128166915051,0.5640881003051205,18.429999999999996,Moderate,0,0
6.9,0.58,0.01,1.9,0.08,40.0,54.0,0.99683,3.4,0.73,9.7,5,red,0,Low,11.87607573149742,0.7407270235736375,18.429999999999996,Moderate,0,0
7.2,0.38,0.31,2.0,0.056,15.0,29.0,0.99472,3.23,0.76,11.3,8,red,1,Medium,18.897637795275593,0.5172235440157236,22.6,Acidic,1,0
7.2,0.37,0.32,2.0,0.062,15.0,28.0,0.9947,3.23,0.73,11.3,7,red,1,Medium,19.40700808625337,0.5356951537445092,22.6,Acidic,0,0
7.8,0.32,0.44,2.7,0.104,8.0,17.0,0.99732,3.33,0.78,11.0,7,red,1,Medium,24.299065420560748,0.4705605552614552,29.700000000000003,Moderate,0,0
6.6,0.58,0.02,2.0,0.062,37.0,53.0,0.99374,3.35,0.76,11.6,7,red,1,Medium,11.359724612736661,0.6981000358483802,23.2,Moderate,0,0
7.6,0.49,0.33,1.9,0.074,27.0,85.0,0.99706,3.41,0.58,9.0,5,red,0,Low,15.478615071283095,0.31764332184327243,17.099999999999998,Moderate,0,0
11.7,0.45,0.63,2.2,0.073,7.0,23.0,0.99974,3.21,0.69,10.9,6,red,1,Medium,25.942350332594234,0.3043345941480805,23.980000000000004,Acidic,0,0
6.5,0.9,0.0,1.6,0.052,9.0,17.0,0.99467,3.5,0.63,10.9,6,red,1,Medium,7.214206437291898,0.529380624669137,17.44,Moderate,0,0
6.0,0.54,0.06,1.8,0.05,38.0,89.0,0.99236,3.3,0.5,10.55,6,red,1,Medium,11.090573012939002,0.426961494814665,18.990000000000002,Acidic,0,0
7.6,0.49,0.33,1.9,0.074,27.0,85.0,0.99706,3.41,0.58,9.0,5,red,0,Low,15.478615071283095,0.31764332184327243,17.099999999999998,Moderate,0,0
8.4,0.29,0.4,1.7,0.067,8.0,20.0,0.99603,3.39,0.6,10.5,5,red,0,Medium,28.865979381443303,0.39998000099994996,17.849999999999998,Moderate,0,0
7.9,0.2,0.35,1.7,0.054,7.0,15.0,0.99458,3.32,0.8,11.9,7,red,1,Medium,39.30348258706468,0.4666355576294914,20.23,Moderate,0,0
6.4,0.42,0.09,2.3,0.054,34.0,64.0,0.99724,3.41,0.68,10.4,6,red,1,Medium,15.201900237529692,0.5312416993484477,23.919999999999998,Moderate,0,0
6.2,0.785,0.0,2.1,0.06,6.0,13.0,0.99664,3.59,0.61,10.0,4,red,0,Low,7.888040712468193,0.4615029613106684,21.0,Moderate,0,1
6.8,0.64,0.03,2.3,0.075,14.0,31.0,0.99545,3.36,0.58,10.4,6,red,1,Medium,10.608424336973478,0.4515983355375633,23.919999999999998,Moderate,0,0
6.9,0.63,0.01,2.4,0.076,14.0,39.0,0.99522,3.34,0.53,10.8,6,red,1,Medium,10.935023771790808,0.3589651547396221,25.92,Moderate,0,0
6.8,0.59,0.1,1.7,0.063,34.0,53.0,0.9958,3.41,0.67,9.7,5,red,0,Low,11.505922165820643,0.6414973302390521,16.49,Moderate,0,0
6.8,0.59,0.1,1.7,0.063,34.0,53.0,0.9958,3.41,0.67,9.7,5,red,0,Low,11.505922165820643,0.6414973302390521,16.49,Moderate,0,0
7.3,0.48,0.32,2.1,0.062,31.0,54.0,0.99728,3.3,0.65,10.0,7,red,1,Low,15.176715176715177,0.5740634432695692,21.0,Acidic,0,0
6.7,1.04,0.08,2.3,0.067,19.0,32.0,0.99648,3.52,0.57,11.0,4,red,0,Medium,6.436119116234391,0.5937314458923159,25.299999999999997,Moderate,0,1
7.3,0.48,0.32,2.1,0.062,31.0,54.0,0.99728,3.3,0.65,10.0,7,red,1,Low,15.176715176715177,0.5740634432695692,21.0,Acidic,0,0
7.3,0.98,0.05,2.1,0.061,20.0,49.0,0.99705,3.31,0.55,9.7,3,red,0,Low,7.44138634046891,0.4081549356135589,20.37,Moderate,0,1
10.0,0.69,0.11,1.4,0.084,8.0,24.0,0.99578,2.88,0.47,9.7,5,red,0,Low,14.471780028943561,0.333319445023124,13.579999999999998,Very_Acidic,0,0
6.7,0.7,0.08,3.75,0.067,8.0,16.0,0.99334,3.43,0.52,12.6,5,red,0,High,9.557774607703282,0.4999687519530029,47.25,Moderate,0,0
7.6,0.35,0.6,2.6,0.073,23.0,44.0,0.99656,3.38,0.79,11.1,6,red,1,Medium,21.65242165242165,0.5227153928319811,28.86,Moderate,0,0
6.1,0.6,0.08,1.8,0.071,14.0,45.0,0.99336,3.38,0.54,11.0,5,red,0,Medium,10.149750415973378,0.31110419768449593,19.8,Moderate,0,0
9.9,0.5,0.5,13.8,0.205,48.0,82.0,1.00242,3.16,0.75,8.8,5,red,0,Low,19.760479041916167,0.5853587151376203,121.44000000000001,Acidic,0,0
5.3,0.47,0.11,2.2,0.048,16.0,89.0,0.99182,3.54,0.88,13.5666666666667,7,red,1,High,11.252653927813164,0.17977326097459578,29.846666666666742,Moderate,0,0
9.9,0.5,0.5,13.8,0.205,48.0,82.0,1.00242,3.16,0.75,8.8,5,red,0,Low,19.760479041916167,0.5853587151376203,121.44000000000001,Acidic,0,0
5.3,0.47,0.11,2.2,0.048,16.0,89.0,0.99182,3.54,0.88,13.6,7,red,1,High,11.252653927813164,0.17977326097459578,29.92,Moderate,0,0
7.1,0.875,0.05,5.7,0.082,3.0,14.0,0.99808,3.4,0.52,10.2,3,red,0,Medium,8.105022831050228,0.2142704092564817,58.14,Moderate,0,1
8.2,0.28,0.6,3.0,0.104,10.0,22.0,0.99828,3.39,0.68,10.6,5,red,0,Medium,29.181494661921704,0.45452479432753057,31.799999999999997,Moderate,0,0
5.6,0.62,0.03,1.5,0.08,6.0,13.0,0.99498,3.66,0.62,10.1,4,red,0,Medium,9.017713365539452,0.4615029613106684,15.149999999999999,Basic,0,1
8.2,0.28,0.6,3.0,0.104,10.0,22.0,0.99828,3.39,0.68,10.6,5,red,0,Medium,29.181494661921704,0.45452479432753057,31.799999999999997,Moderate,0,0
7.2,0.58,0.54,2.1,0.114,3.0,9.0,0.99719,3.33,0.57,10.3,4,red,0,Medium,12.392426850258177,0.33329630041106545,21.630000000000003,Moderate,0,1
8.1,0.33,0.44,1.5,0.042,6.0,12.0,0.99542,3.35,0.61,10.7,5,red,0,Medium,24.47129909365559,0.49995833680526625,16.049999999999997,Moderate,0,0
6.8,0.91,0.06,2.0,0.06,4.0,11.0,0.99592,3.53,0.64,10.9,4,red,0,Medium,7.4643249176728865,0.36360330879011,21.8,Moderate,0,1
7.0,0.655,0.16,2.1,0.074,8.0,25.0,0.99606,3.37,0.55,9.7,5,red,0,Low,10.670731707317072,0.3199872005119795,20.37,Moderate,0,0
6.8,0.68,0.21,2.1,0.07,9.0,23.0,0.99546,3.38,0.6,10.3,5,red,0,Medium,9.985315712187958,0.39128733533324633,21.630000000000003,Moderate,0,0
6.0,0.64,0.05,1.9,0.066,9.0,17.0,0.99496,3.52,0.78,10.6,5,red,0,Medium,9.360374414976599,0.529380624669137,20.139999999999997,Moderate,0,0
5.6,0.54,0.04,1.7,0.049,5.0,13.0,0.9942,3.72,0.58,11.4,5,red,0,Medium,10.351201478743066,0.3845858010922237,19.38,Basic,0,0
6.2,0.57,0.1,2.1,0.048,4.0,11.0,0.99448,3.44,0.76,10.8,6,red,1,Medium,10.858143607705781,0.36360330879011,22.680000000000003,Moderate,0,0
7.1,0.22,0.49,1.8,0.039,8.0,18.0,0.99344,3.39,0.56,12.4,6,red,1,High,32.126696832579185,0.4444197544580856,22.32,Moderate,0,0
5.6,0.54,0.04,1.7,0.049,5.0,13.0,0.9942,3.72,0.58,11.4,5,red,0,Medium,10.351201478743066,0.3845858010922237,19.38,Basic,0,0
6.2,0.65,0.06,1.6,0.05,6.0,18.0,0.99348,3.57,0.54,11.95,5,red,0,Medium,9.523809523809524,0.3333148158435642,19.12,Moderate,0,0
7.7,0.54,0.26,1.9,0.089,23.0,147.0,0.99636,3.26,0.59,9.7,5,red,0,Low,14.232902033271719,0.1564615206699274,18.429999999999996,Acidic,0,0
6.4,0.31,0.09,1.4,0.066,15.0,28.0,0.99459,3.42,0.7,10.0,7,red,1,Low,20.578778135048232,0.5356951537445092,14.0,Moderate,0,0
7.0,0.43,0.02,1.9,0.08,15.0,28.0,0.99492,3.35,0.81,10.6,6,red,1,Medium,16.241299303944317,0.5356951537445092,20.139999999999997,Moderate,0,0
7.7,0.54,0.26,1.9,0.089,23.0,147.0,0.99636,3.26,0.59,9.7,5,red,0,Low,14.232902033271719,0.1564615206699274,18.429999999999996,Acidic,0,0
6.9,0.74,0.03,2.3,0.054,7.0,16.0,0.99508,3.45,0.63,11.5,6,red,1,Medium,9.31174089068826,0.4374726579588775,26.45,Moderate,0,0
6.6,0.895,0.04,2.3,0.068,7.0,13.0,0.99582,3.53,0.58,10.8,6,red,1,Medium,7.366071428571428,0.5384201215291131,24.84,Moderate,0,0
6.9,0.74,0.03,2.3,0.054,7.0,16.0,0.99508,3.45,0.63,11.5,6,red,1,Medium,9.31174089068826,0.4374726579588775,26.45,Moderate,0,0
7.5,0.725,0.04,1.5,0.076,8.0,15.0,0.99508,3.26,0.53,9.6,5,red,0,Low,10.330578512396695,0.5332977801479901,14.399999999999999,Acidic,0,0
7.8,0.82,0.29,4.3,0.083,21.0,64.0,0.99642,3.16,0.53,9.4,5,red,0,Low,9.500609013398295,0.3281198731269824,40.42,Acidic,0,0
7.3,0.585,0.18,2.4,0.078,15.0,60.0,0.99638,3.31,0.54,9.8,5,red,0,Low,12.457337883959045,0.24999583340277662,23.52,Moderate,0,0
6.2,0.44,0.39,2.5,0.077,6.0,14.0,0.99555,3.51,0.69,11.0,6,red,1,Medium,14.058956916099774,0.4285408185129634,27.5,Moderate,0,0
7.5,0.38,0.57,2.3,0.106,5.0,12.0,0.99605,3.36,0.55,11.4,6,red,1,Medium,19.68503937007874,0.41663194733772185,26.22,Moderate,0,0
6.7,0.76,0.02,1.8,0.078,6.0,12.0,0.996,3.55,0.63,9.95,3,red,0,Low,8.804204993429698,0.49995833680526625,17.91,Moderate,0,1
6.8,0.81,0.05,2.0,0.07,6.0,14.0,0.99562,3.51,0.66,10.8,6,red,1,Medium,8.384710234278668,0.4285408185129634,21.6,Moderate,0,0
7.5,0.38,0.57,2.3,0.106,5.0,12.0,0.99605,3.36,0.55,11.4,6,red,1,Medium,19.68503937007874,0.41663194733772185,26.22,Moderate,0,0
7.1,0.27,0.6,2.1,0.074,17.0,25.0,0.99814,3.38,0.72,10.6,6,red,1,Medium,26.199261992619924,0.6799728010879564,22.26,Moderate,0,0
7.9,0.18,0.4,1.8,0.062,7.0,20.0,0.9941,3.28,0.7,11.1,5,red,0,Medium,43.646408839779006,0.34998250087495625,19.98,Acidic,0,0
6.4,0.36,0.21,2.2,0.047,26.0,48.0,0.99661,3.47,0.77,9.7,6,red,1,Low,17.72853185595568,0.5416553821795379,21.34,Moderate,0,0
7.1,0.69,0.04,2.1,0.068,19.0,27.0,0.99712,3.44,0.67,9.8,5,red,0,Low,10.274963820549928,0.7036776415688307,20.580000000000002,Moderate,0,0
6.4,0.79,0.04,2.2,0.061,11.0,17.0,0.99588,3.53,0.65,10.4,6,red,1,Medium,8.091024020227561,0.6470207634845009,22.880000000000003,Moderate,0,0
6.4,0.56,0.15,1.8,0.078,17.0,65.0,0.99294,3.33,0.6,10.5,6,red,1,Medium,11.408199643493761,0.2615344379317241,18.900000000000002,Moderate,0,0
6.9,0.84,0.21,4.1,0.074,16.0,65.0,0.99842,3.53,0.72,9.23333333333333,6,red,1,Low,8.204518430439952,0.24615005922985797,37.856666666666655,Moderate,0,0
6.9,0.84,0.21,4.1,0.074,16.0,65.0,0.99842,3.53,0.72,9.25,6,red,1,Low,8.204518430439952,0.24615005922985797,37.925,Moderate,0,0
6.1,0.32,0.25,2.3,0.071,23.0,58.0,0.99633,3.42,0.97,10.6,5,red,0,Medium,19.003115264797508,0.396544887157118,24.38,Moderate,0,0
6.5,0.53,0.06,2.0,0.063,29.0,44.0,0.99489,3.38,0.83,10.3,6,red,1,Medium,12.241054613935969,0.659075930092498,20.6,Moderate,0,0
7.4,0.47,0.46,2.2,0.114,7.0,20.0,0.99647,3.32,0.63,10.5,5,red,0,Medium,15.711252653927815,0.34998250087495625,23.1,Moderate,0,0
6.6,0.7,0.08,2.6,0.106,14.0,27.0,0.99665,3.44,0.58,10.2,5,red,0,Medium,9.4151212553495,0.5184993148401911,26.52,Moderate,0,0
6.5,0.53,0.06,2.0,0.063,29.0,44.0,0.99489,3.38,0.83,10.3,6,red,1,Medium,12.241054613935969,0.659075930092498,20.6,Moderate,0,0
6.9,0.48,0.2,1.9,0.082,9.0,23.0,0.99585,3.39,0.43,9.05,4,red,0,Low,14.345114345114347,0.39128733533324633,17.195,Moderate,0,1
6.1,0.32,0.25,2.3,0.071,23.0,58.0,0.99633,3.42,0.97,10.6,5,red,0,Medium,19.003115264797508,0.396544887157118,24.38,Moderate,0,0
6.8,0.48,0.25,2.0,0.076,29.0,61.0,0.9953,3.34,0.6,10.4,5,red,0,Medium,14.137214137214137,0.4754020425894658,20.8,Moderate,0,0
6.0,0.42,0.19,2.0,0.075,22.0,47.0,0.99522,3.39,0.78,10.0,6,red,1,Low,14.251781472684087,0.4680751473372907,20.0,Moderate,0,0
6.7,0.48,0.08,2.1,0.064,18.0,34.0,0.99552,3.33,0.64,9.7,5,red,0,Low,13.92931392931393,0.5293961942295815,20.37,Moderate,0,0
6.8,0.47,0.08,2.2,0.064,18.0,38.0,0.99553,3.3,0.65,9.6,6,red,1,Low,14.437367303609342,0.4736717454803821,21.12,Acidic,0,0
7.1,0.53,0.07,1.7,0.071,15.0,24.0,0.9951,3.29,0.66,10.8,6,red,1,Medium,13.370998116760827,0.6249739594183575,18.36,Acidic,0,0
7.9,0.29,0.49,2.2,0.096,21.0,59.0,0.99714,3.31,0.67,10.1,6,red,1,Medium,27.147766323024058,0.35592617074286875,22.220000000000002,Moderate,0,0
7.1,0.69,0.08,2.1,0.063,42.0,52.0,0.99608,3.42,0.6,10.2,6,red,1,Medium,10.274963820549928,0.8076767754466261,21.419999999999998,Moderate,0,0
6.6,0.44,0.09,2.2,0.063,9.0,18.0,0.99444,3.42,0.69,11.3,6,red,1,Medium,14.965986394557822,0.49997222376534634,24.860000000000003,Moderate,0,0
6.1,0.705,0.1,2.8,0.081,13.0,28.0,0.99631,3.6,0.66,10.2,5,red,0,Medium,8.640226628895183,0.4642691332452412,28.559999999999995,Moderate,0,0
7.2,0.53,0.13,2.0,0.058,18.0,22.0,0.99573,3.21,0.68,9.9,6,red,1,Low,13.559322033898304,0.8181446297895549,19.8,Acidic,0,0
8.0,0.39,0.3,1.9,0.074,32.0,84.0,0.99717,3.39,0.61,9.0,5,red,0,Low,20.460358056265985,0.38094784585897784,17.099999999999998,Moderate,0,0
6.6,0.56,0.14,2.4,0.064,13.0,29.0,0.99397,3.42,0.62,11.7,7,red,1,Medium,11.76470588235294,0.4482604048136271,28.08,Moderate,0,0
7.0,0.55,0.13,2.2,0.075,15.0,35.0,0.9959,3.36,0.59,9.7,6,red,1,Low,12.704174228675136,0.42855918402331367,21.34,Moderate,0,0
6.1,0.53,0.08,1.9,0.077,24.0,45.0,0.99528,3.6,0.68,10.3,6,red,1,Medium,11.487758945386062,0.5333214817448502,19.57,Moderate,0,0
5.4,0.58,0.08,1.9,0.059,20.0,31.0,0.99484,3.5,0.64,10.2,6,red,1,Medium,9.294320137693633,0.6451404793393761,19.38,Moderate,0,0
6.2,0.64,0.09,2.5,0.081,15.0,26.0,0.99538,3.57,0.63,12.0,5,red,0,Medium,9.67238689547582,0.5769008884273682,30.0,Moderate,0,0
7.2,0.39,0.32,1.8,0.065,34.0,60.0,0.99714,3.46,0.78,9.9,5,red,0,Low,18.414322250639387,0.566657222379627,17.82,Moderate,0,0
6.2,0.52,0.08,4.4,0.071,11.0,32.0,0.99646,3.56,0.63,11.6,6,red,1,Medium,11.900191938579654,0.3437392581481829,51.04,Moderate,0,0
7.4,0.25,0.29,2.2,0.054,19.0,49.0,0.99666,3.4,0.76,10.9,7,red,1,Medium,29.482071713147413,0.387747188832881,23.980000000000004,Moderate,0,0
6.7,0.855,0.02,1.9,0.064,29.0,38.0,0.99472,3.3,0.56,10.75,6,red,1,Medium,7.827102803738318,0.7631378121628378,20.425,Acidic,0,0
11.1,0.44,0.42,2.2,0.064,14.0,19.0,0.99758,3.25,0.57,10.4,6,red,1,Medium,25.170068027210885,0.7368033261407294,22.880000000000003,Acidic,0,0
8.4,0.37,0.43,2.3,0.063,12.0,19.0,0.9955,3.17,0.81,11.2,7,red,1,Medium,22.641509433962266,0.6315457081206252,25.759999999999998,Acidic,0,0
6.5,0.63,0.33,1.8,0.059,16.0,28.0,0.99531,3.36,0.64,10.1,6,red,1,Medium,10.301109350237718,0.5714081639941431,18.18,Moderate,0,0
7.0,0.57,0.02,2.0,0.072,17.0,26.0,0.99575,3.36,0.61,10.2,5,red,0,Medium,12.259194395796849,0.6538210068843505,20.4,Moderate,0,0
6.3,0.6,0.1,1.6,0.048,12.0,26.0,0.99306,3.55,0.51,12.1,5,red,0,High,10.482529118136439,0.46152071074189455,19.36,Moderate,0,0
11.2,0.4,0.5,2.0,0.099,19.0,50.0,0.99783,3.1,0.58,10.4,5,red,0,Medium,27.93017456359102,0.379992400151997,20.8,Acidic,0,0
7.4,0.36,0.3,1.8,0.074,17.0,24.0,0.99419,3.24,0.7,11.4,8,red,1,Medium,20.498614958448755,0.7083038206741386,20.52,Acidic,1,0
7.1,0.68,0.0,2.3,0.087,17.0,26.0,0.99783,3.45,0.53,9.5,5,red,0,Low,10.42584434654919,0.6538210068843505,21.849999999999998,Moderate,0,0
7.1,0.67,0.0,2.3,0.083,18.0,27.0,0.99768,3.44,0.54,9.4,5,red,0,Low,10.58122205663189,0.6666419762231028,21.619999999999997,Moderate,0,0
6.3,0.68,0.01,3.7,0.103,32.0,54.0,0.99586,3.51,0.66,11.3,6,red,1,Medium,9.251101321585901,0.59258161885891,41.81,Moderate,0,0
7.3,0.735,0.0,2.2,0.08,18.0,28.0,0.99765,3.41,0.6,9.4,5,red,0,Low,9.918478260869565,0.6428341844934109,20.680000000000003,Moderate,0,0
6.6,0.855,0.02,2.4,0.062,15.0,23.0,0.99627,3.54,0.6,11.0,6,red,1,Medium,7.710280373831775,0.6521455588887439,26.4,Moderate,0,0
7.0,0.56,0.17,1.7,0.065,15.0,24.0,0.99514,3.44,0.68,10.55,7,red,1,Medium,12.4777183600713,0.6249739594183575,17.935000000000002,Moderate,0,0
6.6,0.88,0.04,2.2,0.066,12.0,20.0,0.99636,3.53,0.56,9.9,5,red,0,Low,7.4914869466515315,0.599970001499925,21.78,Moderate,0,0
6.6,0.855,0.02,2.4,0.062,15.0,23.0,0.99627,3.54,0.6,11.0,6,red,1,Medium,7.710280373831775,0.6521455588887439,26.4,Moderate,0,0
6.9,0.63,0.33,6.7,0.235,66.0,115.0,0.99787,3.22,0.56,9.5,5,red,0,Low,10.935023771790808,0.5739080529734524,63.65,Acidic,0,0
7.8,0.6,0.26,2.0,0.08,31.0,131.0,0.99622,3.21,0.52,9.9,5,red,0,Low,12.978369384359402,0.23663941496629795,19.8,Acidic,0,0
7.8,0.6,0.26,2.0,0.08,31.0,131.0,0.99622,3.21,0.52,9.9,5,red,0,Low,12.978369384359402,0.23663941496629795,19.8,Acidic,0,0
7.8,0.6,0.26,2.0,0.08,31.0,131.0,0.99622,3.21,0.52,9.9,5,red,0,Low,12.978369384359402,0.23663941496629795,19.8,Acidic,0,0
7.2,0.695,0.13,2.0,0.076,12.0,20.0,0.99546,3.29,0.54,10.1,5,red,0,Medium,10.344827586206897,0.599970001499925,20.2,Acidic,0,0
7.2,0.695,0.13,2.0,0.076,12.0,20.0,0.99546,3.29,0.54,10.1,5,red,0,Medium,10.344827586206897,0.599970001499925,20.2,Acidic,0,0
7.2,0.695,0.13,2.0,0.076,12.0,20.0,0.99546,3.29,0.54,10.1,5,red,0,Medium,10.344827586206897,0.599970001499925,20.2,Acidic,0,0
6.7,0.67,0.02,1.9,0.061,26.0,42.0,0.99489,3.39,0.82,10.9,6,red,1,Medium,9.985096870342772,0.6190328801695199,20.71,Moderate,0,0
6.7,0.16,0.64,2.1,0.059,24.0,52.0,0.99494,3.34,0.71,11.2,6,red,1,Medium,41.61490683229814,0.4615295859695006,23.52,Moderate,0,0
7.2,0.695,0.13,2.0,0.076,12.0,20.0,0.99546,3.29,0.54,10.1,5,red,0,Medium,10.344827586206897,0.599970001499925,20.2,Acidic,0,0
7.0,0.56,0.13,1.6,0.077,25.0,42.0,0.99629,3.34,0.59,9.2,5,red,0,Low,12.4777183600713,0.5952239232399229,14.719999999999999,Moderate,0,0
6.2,0.51,0.14,1.9,0.056,15.0,34.0,0.99396,3.48,0.57,11.5,6,red,1,Medium,12.13307240704501,0.4411634951913179,21.849999999999998,Moderate,0,0
6.4,0.36,0.53,2.2,0.23,19.0,35.0,0.9934,3.37,0.93,12.4,6,red,1,High,17.72853185595568,0.5428416330961973,27.280000000000005,Moderate,0,0
6.4,0.38,0.14,2.2,0.038,15.0,25.0,0.99514,3.44,0.65,11.1,6,red,1,Medium,16.79790026246719,0.5999760009599616,24.42,Moderate,0,0
7.3,0.69,0.32,2.2,0.069,35.0,104.0,0.99632,3.33,0.51,9.5,5,red,0,Low,10.5643994211288,0.33653522562283056,20.900000000000002,Moderate,0,0
6.0,0.58,0.2,2.4,0.075,15.0,50.0,0.99467,3.58,0.67,12.5,6,red,1,High,10.327022375215147,0.2999940001199976,30.0,Moderate,0,0
5.6,0.31,0.78,13.9,0.074,23.0,92.0,0.99677,3.39,0.48,10.5,6,red,1,Medium,18.0064308681672,0.24999728263823218,145.95000000000002,Moderate,0,0
7.5,0.52,0.4,2.2,0.06,12.0,20.0,0.99474,3.26,0.64,11.8,6,red,1,Medium,14.39539347408829,0.599970001499925,25.960000000000004,Acidic,0,0
8.0,0.3,0.63,1.6,0.081,16.0,29.0,0.99588,3.3,0.78,10.8,6,red,1,Medium,26.578073089700997,0.5517051136167718,17.28,Acidic,0,0
6.2,0.7,0.15,5.1,0.076,13.0,27.0,0.99622,3.54,0.6,11.9,6,red,1,Medium,8.84450784593438,0.48146364949446313,60.69,Moderate,0,0
6.8,0.67,0.15,1.8,0.118,13.0,20.0,0.9954,3.42,0.67,11.3,6,red,1,Medium,10.134128166915051,0.6499675016249187,20.340000000000003,Moderate,0,0
6.2,0.56,0.09,1.7,0.053,24.0,32.0,0.99402,3.54,0.6,11.3,5,red,0,Medium,11.05169340463458,0.749976563232399,19.21,Moderate,0,0
7.4,0.35,0.33,2.4,0.068,9.0,26.0,0.9947,3.36,0.6,11.9,6,red,1,Medium,21.082621082621085,0.3461405330564209,28.56,Moderate,0,0
6.2,0.56,0.09,1.7,0.053,24.0,32.0,0.99402,3.54,0.6,11.3,5,red,0,Medium,11.05169340463458,0.749976563232399,19.21,Moderate,0,0
6.1,0.715,0.1,2.6,0.053,13.0,27.0,0.99362,3.57,0.5,11.9,5,red,0,Medium,8.519553072625698,0.48146364949446313,30.94,Moderate,0,0
6.2,0.46,0.29,2.1,0.074,32.0,98.0,0.99578,3.33,0.62,9.8,5,red,0,Low,13.449023861171366,0.3265272803338741,20.580000000000002,Moderate,0,0
6.7,0.32,0.44,2.4,0.061,24.0,34.0,0.99484,3.29,0.8,11.6,7,red,1,Medium,20.87227414330218,0.7058615923061087,27.84,Acidic,0,0
7.2,0.39,0.44,2.6,0.066,22.0,48.0,0.99494,3.3,0.84,11.5,6,red,1,Medium,18.414322250639387,0.4583237849211475,29.900000000000002,Acidic,0,0
7.5,0.31,0.41,2.4,0.065,34.0,60.0,0.99492,3.34,0.85,11.4,6,red,1,Medium,24.115755627009648,0.566657222379627,27.36,Moderate,0,0
5.8,0.61,0.11,1.8,0.066,18.0,28.0,0.99483,3.55,0.66,10.9,6,red,1,Medium,9.492635024549918,0.6428341844934109,19.62,Moderate,0,0
7.2,0.66,0.33,2.5,0.068,34.0,102.0,0.99414,3.27,0.78,12.8,6,red,1,High,10.892586989409985,0.3333300653915158,32.0,Acidic,0,0
6.6,0.725,0.2,7.8,0.073,29.0,79.0,0.9977,3.29,0.54,9.2,5,red,0,Low,9.09090909090909,0.36708396096251944,71.75999999999999,Acidic,0,0
6.3,0.55,0.15,1.8,0.077,26.0,35.0,0.99314,3.32,0.82,11.6,6,red,1,Medium,11.43375680580762,0.7428359189737437,20.88,Moderate,0,0
5.4,0.74,0.09,1.7,0.089,16.0,26.0,0.99402,3.67,0.56,11.6,6,red,1,Medium,7.287449392712551,0.6153609476558594,19.72,Basic,0,0
6.3,0.51,0.13,2.3,0.076,29.0,40.0,0.99574,3.42,0.75,11.0,6,red,1,Medium,12.32876712328767,0.7249818754531138,25.299999999999997,Moderate,0,0
6.8,0.62,0.08,1.9,0.068,28.0,38.0,0.99651,3.42,0.82,9.5,6,red,1,Low,10.950080515297905,0.7368227151917055,18.05,Moderate,0,0
6.2,0.6,0.08,2.0,0.09,32.0,44.0,0.9949,3.45,0.58,10.5,5,red,0,Medium,10.31613976705491,0.7272561987227564,21.0,Moderate,0,0
5.9,0.55,0.1,2.2,0.062,39.0,51.0,0.99512,3.52,0.76,11.2,6,red,1,Medium,10.707803992740471,0.7646908884139527,24.64,Moderate,0,0
6.3,0.51,0.13,2.3,0.076,29.0,40.0,0.99574,3.42,0.75,11.0,6,red,1,Medium,12.32876712328767,0.7249818754531138,25.299999999999997,Moderate,0,0
5.9,0.645,0.12,2.0,0.075,32.0,44.0,0.99547,3.57,0.71,10.2,5,red,0,Medium,9.13312693498452,0.7272561987227564,20.4,Moderate,0,0
6.0,0.31,0.47,3.6,0.067,18.0,42.0,0.99549,3.39,0.66,11.0,6,red,1,Medium,19.292604501607716,0.4285612247327445,39.6,Moderate,0,0
7.0,0.27,0.36,20.7,0.045,45.0,170.0,1.001,3.0,0.45,8.8,6,white,1,Low,25.830258302583022,0.2647043252686749,182.16,Very_Acidic,0,0
6.3,0.3,0.34,1.6,0.049,14.0,132.0,0.994,3.3,0.49,9.5,6,white,1,Low,20.930232558139537,0.1060598025772532,15.200000000000001,Acidic,0,0
8.1,0.28,0.4,6.9,0.05,30.0,97.0,0.9951,3.26,0.44,10.1,6,white,1,Medium,28.825622775800706,0.3092751621117308,69.69,Acidic,0,0
7.2,0.23,0.32,8.5,0.058,47.0,186.0,0.9956,3.19,0.4,9.9,6,white,1,Low,31.16883116883117,0.2526868135117553,84.15,Acidic,0,0
7.2,0.23,0.32,8.5,0.058,47.0,186.0,0.9956,3.19,0.4,9.9,6,white,1,Low,31.16883116883117,0.2526868135117553,84.15,Acidic,0,0
8.1,0.28,0.4,6.9,0.05,30.0,97.0,0.9951,3.26,0.44,10.1,6,white,1,Medium,28.825622775800706,0.3092751621117308,69.69,Acidic,0,0
